FILENAME,IDEAL INPUT,OUTPUT,   
ARXIV_astro_ph_0205031.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <CONTRIBUTION>We present new Hubble Space Telescope, high-resolution optical imaging of the submillimeter luminous Lyman break galaxy (LBG), Westphal-MMD 11, an interacting starburst at z = 2.979.</CONTRIBUTION> <CONTRIBUTION>The new imaging data, in conjunction with reanalysis of Keck optical and near-IR spectra, demonstrate MMD 11 to be an interacting system of at least three components: a luminous blue source, a fainter blue source, and an extremely red object (ERO) with R–K ≳ 6.</CONTRIBUTION> <BACKGROUND>The separations between components are ∼8 kpc (Λ = 0.7, ΩM = 0.3, h = 0.65), similar to some of the local ultraluminous infrared galaxies (ULIGs).</BACKGROUND> <CONTRIBUTION>The lack of obvious active galactic nucleus in MMD 11, along with the fragmented, early-stage merger morphology, suggest a young forming environment.</CONTRIBUTION> <CONTRIBUTION>While we cannot unambiguously identify the location of the far-IR emission within the system, analogy to similar ULIGs suggests the ERO as the likely far-IR source.</CONTRIBUTION> <CONTRIBUTION>The greater than 10¹² L☉ bolometric luminosity of MMD 11 can be predicted reasonably from its rest-frame UV properties once all components are taken into account; however, this is not typically the case for local galaxies of similar luminosities.</CONTRIBUTION> <BACKGROUND>While LBGs as red in g–R and R–K as MMD 11 are rare, they can only be found over the restricted 2.7 < z < 3.0 range.</BACKGROUND> <CONTRIBUTION>Therefore, a substantial number of MMD 11-like galaxies (≃0.62 arcmin⁻²) may exist when integrated over the likely redshift range of SCUBA sources (z = 1–5), suggesting that SCUBA sources should not necessarily be seen as completely orthogonal to optically selected galaxies.</CONTRIBUTION> </ABSTRACT>","This paper looks at new images from the Hubble and Keck telescopes. It shows that Westphal-MMD 11 is actually three galaxies interacting with each other. The authors also identify which of the three shines brightest in infrared light. They then measure its ultraviolet brightness and use that to suggest that other rare, red “Lyman break” galaxies were actually quite common in the early universe. Finally, they demonstrate that combining data from different telescopes can uncover hidden shapes and intense bursts of star formation in very distant galaxies.",   
ARXIV_2206_06633.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <BACKGROUND>Properties of systems with exact n-fold screw symmetry (n = 2, 3, 4, 6) have been well studied because they can be understood in terms of space groups.</BACKGROUND> <BACKGROUND>On the other hand, existence of materials with approximate screw symmetries, such as 7-fold and 10-fold screw symmetries, has been predicted.</BACKGROUND> <CONTRIBUTION>In this paper, we study properties of phonons in crystals with approximate screw symmetries, which will lead to unique and new physical phenomena.</CONTRIBUTION> <CONTRIBUTION>In a crystal with an approximate screw symmetry, we propose a method to extract information of pseudoangular momentum of phonons, which is a quantum number characterizing the properties of phonon modes under screw symmetry, based on the fact that the information of the quantum numbers defined under exact screw symmetry partially remains in the eigenvectors of approximate screw symmetric systems.</CONTRIBUTION> <CONTRIBUTION>As a preparation, we study a one-dimensional crystal with partially broken translation symmetry to have an enlarged unit cell, and we show how to extract information of a quantum number corresponding to the pseudoangular momentum, by studying a relative phase between neighboring atoms.</CONTRIBUTION> <CONTRIBUTION>We also extend this method to systems with an approximate screw symmetry, and discuss properties of the pseudoangular momentum.</CONTRIBUTION> <CONTRIBUTION>We apply this method to results of our first-principle calculations on candidate materials with an approximate translational symmetry or with an approximate screw symmetry, and show how this approximate symmetry is reflected in the phonon wavefunctions.</CONTRIBUTION> </ABSTRACT>",This paper looks at crystals that twist in patterns called screw symmetries. Scientists predicted new materials with almost perfect 7- and 10-fold twists but didn’t know how their vibrations worked. The authors introduce a simple way to find a hidden number—called pseudoangular momentum—by measuring tiny shifts in how atoms move. They test this idea first on a basic one-dimensional model and then on real materials using computer calculations. Their results show how small breaks in perfect symmetry can change the way these crystals vibrate.,   
ARXIV_2101_12333.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <BACKGROUND>Given an (optimal) dynamic treatment rule, it may be of interest to evaluate that rule – that is, to ask the causal question: what is the expected outcome had every subject received treatment according to that rule?</BACKGROUND> <BACKGROUND>In this paper, we study the performance of estimators that approximate the true value of: 1) an a priori known dynamic treatment rule 2) the true, unknown optimal dynamic treatment rule (ODTR); 3) an estimated ODTR, a so-called “data-adaptive parameter,” whose true value depends on the sample.</BACKGROUND> <CONTRIBUTION>Using simulations of point-treatment data, we specifically investigate: 1) the impact of increasingly data-adaptive estimation of nuisance parameters and/or of the ODTR on performance; 2) the potential for improved efficiency and bias reduction through the use of semiparametric efficient estimators; and, 3) the importance of sample splitting based on CV-TMLE for accurate inference.</CONTRIBUTION> <CONTRIBUTION>In the simulations considered, there was very little cost and many benefits to using the cross-validated targeted maximum likelihood estimator (CV-TMLE) to estimate the value of the true and estimated ODTR; importantly, and in contrast to non cross-validated estimators, the performance of CV-TMLE was maintained even when highly data-adaptive algorithms were used to estimate both nuisance parameters and the ODTR.</CONTRIBUTION> <CONTRIBUTION>In addition, we apply these estimators for the value of the rule to the “Interventions” Study, an ongoing randomized controlled trial, to identify whether assigning cognitive behavioral therapy (CBT) to criminal justice-involved adults with mental illness using an ODTR significantly reduces the probability of recidivism, compared to assigning CBT in a non-individualized way.</CONTRIBUTION> </ABSTRACT>","This paper presents new ways to test how well personalized treatment plans work. First, the authors ran computer simulations to show that a special statistical method stays accurate and fair, even when it uses complicated algorithms. Then they used this approach on a real study of cognitive behavioral therapy for adults in the criminal justice system. They found that picking treatments with their best rule could greatly reduce the number of people who re-offend.",   
ARXIV_1304_4762.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <BACKGROUND>The Kepler-36 system consists of two planets that are spaced unusually close together, near the 7:6 mean motion resonance.</BACKGROUND> <BACKGROUND>While it is known that mean motion resonances can easily form by convergent migration, Kepler-36 is an extreme case due to the close spacing and the relatively high planet masses of 4 and 8 times that of the Earth.</BACKGROUND> <CONTRIBUTION>In this paper, we investigate whether such a system can be obtained by interactions with the protoplanetary disc.</CONTRIBUTION> <BACKGROUND>These discs are thought to be turbulent and exhibit density fluctuations which might originate from the magneto-rotational instability.</BACKGROUND> <CONTRIBUTION>We adopt a realistic description for stochastic forces due to these density fluctuations and perform both long term hydrodynamical and N-body simulations.</CONTRIBUTION> <CONTRIBUTION>Our results show that planets in the Kepler-36 mass range can be naturally assembled into a closely spaced planetary system for a wide range of migration parameters in a turbulent disc similar to the minimum mass solar nebula.</CONTRIBUTION> <CONTRIBUTION>The final orbits of our formation scenarios tend to be Lagrange stable, even though large parts of the parameter space are chaotic and unstable.</CONTRIBUTION> </ABSTRACT>","Scientists studied how churning gas around a young star can push planets into very tight orbits, like those seen in Kepler-36. They built easy-to-use computer models that mix gas flow, gravity, and random pushes from turbulence. Their results show that Earth-size to super-Earth-size planets can form close to each other on their own and still stay in steady paths around the star. This new approach explains extreme planet spacing by adding random forces and running the models for a long time.",   
ARXIV_0802_2319.json,<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <BACKGROUND>Fractal geometry of random curves appearing in the scaling limit of critical two-dimensional statistical systems is characterized by their harmonic measure and winding angle.</BACKGROUND> <BACKGROUND>The former is the measure of the jaggedness of the curves while the latter quantifies their tendency to form logarithmic spirals.</BACKGROUND> <CONTRIBUTION>We show how these characteristics are related to local operators of conformal field theory and how they can be computed using conformal invariance of critical systems with central charge c ⩽ 1.</CONTRIBUTION> </ABSTRACT>,"This research studies wiggly lines that show up in certain physics models. These lines have two key features: how rough or jagged they are, and how much they spiral. The authors introduce a new method that uses a powerful math framework called conformal field theory. With this method, they can calculate exactly these jaggedness and spiraling properties for systems up to a certain complexity (central charge up to one). This breakthrough gives scientists an easy tool to study and predict complex fractal patterns in flat, two-dimensional systems at critical points.",   
ARXIV_2302_07297.json,<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <BACKGROUND>Imaging biomarkers with increased myelin specificity are needed to better understand the complex progression of neurological disorders.</BACKGROUND> <BACKGROUND>Inhomogeneous magnetization transfer (ihMT) imaging is an emergent technique that has a high degree of specificity for myelin content but suffers from low signal to‐noise ratio (SNR).</BACKGROUND> <CONTRIBUTION>This study used simulations to determine optimal sequence parameters for ihMT imaging for use in high‐resolution cortical mapping.</CONTRIBUTION> </ABSTRACT>,"Myelin is the protective coating around the nerves in your brain. Doctors need clear maps of myelin to study brain diseases. Right now, scans are either too blurry or miss the myelin. A special scan called ihMT can find myelin but its pictures are noisy. In this study, the authors ran computer tests to try different scan settings. They picked the best settings and made clear, detailed maps of myelin in the brain’s surface. This new method could help doctors diagnose and study brain disorders much better.",   
ARXIV_1410_8790.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <CONTRIBUTION>We show that if 𝔄 is a commutative complex non-unital Banach Algebra with norm ∥·∥, then ∥·∥ is regular on 𝔄 if and only if ∥·∥ₒₚ is a norm on 𝔄 ⊕ ℂ and 𝔄 ⊕ ℂ is a commutative complex Banach Algebra with respect to ∥·∥ₒₚ.​​","This paper looks at math systems where you can add, multiply, and measure how “big” elements are, but some of these systems don’t have the number “1.” The authors show that a key property called “regularity” still works exactly the same if you first add the missing “1” and then measure size using the usual operator norm. In other words, they give a simple test to know when you can extend a system by adding “1” without losing its nice size-measuring features. This makes complex calculations in these systems more dependable.",   
ARXIV_1212_4605.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <BACKGROUND>Active galactic nuclei (AGN) play a decisive role in galaxy evolution, particularly so when they launch powerful jets, which reshape their surroundings.</BACKGROUND> <BACKGROUND>However, identifying them is difficult, since radio observations typically have a resolution between 1 arcsec and 10 arcsec, which is equally sensitive to radio emission from star-forming activity and from AGN.</BACKGROUND> <BACKGROUND>Very Long Baseline Interferometry (VLBI) observations allow only the most compact non-thermal emission to be filtered from radio survey data.</BACKGROUND> <BACKGROUND>The observational and computational demands to do this in large surveys have, until recently, been too high to make this practical.</BACKGROUND> <CONTRIBUTION>Only the recent advent of wide-field observing techniques have enabled such observations, and we here present the results of a survey of 217 radio sources in the Lockman Hole/XMM field.</CONTRIBUTION> <CONTRIBUTION>We describe in detail some new aspects of the calibration, including primary beam correction, multi-source self-calibration, and mosaicing.</CONTRIBUTION> </ABSTRACT>","Galaxies can have super-bright centers called active galactic nuclei (AGN) that affect their surroundings. It’s hard to find AGN in radio images because those pictures also show new star formation. In this study, scientists used a powerful telescope setup called VLBI and a wide-field view to look at 217 radio sources in the Lockman Hole/XMM region. They made three key improvements: fixing how the telescope’s view changes across the sky, calibrating many sources at once, and combining all the small images into one big picture. These changes make it much easier to spot the compact AGN signals and learn how black holes shape their galaxies.",   
ARXIV_2403_06250.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <BACKGROUND>This paper considers averaging operators on various algebraic structures and studies the induced structures.</BACKGROUND> <CONTRIBUTION>We first introduce the notion of an averaging operator on a group $G$ and show that it induces a rack structure.</CONTRIBUTION> <CONTRIBUTION>Moreover, the given group structure and the induced rack structure form a group-rack.</CONTRIBUTION> <CONTRIBUTION>We observe that any pointed group-rack can be embedded into an averaging group.</CONTRIBUTION> <CONTRIBUTION>We show that the differentiation of a smooth pointed averaging operator on a Lie group gives rise to an averaging operator on the corresponding Lie algebra.</CONTRIBUTION> <CONTRIBUTION>Next, we consider averaging operators on a rack that induces a hierarchy of new rack structures.</CONTRIBUTION> <CONTRIBUTION>Moreover, any two racks with increasing hierarchy levels form a rack-pairing, a structure that is related to two-sided skew braces by conjugation.</CONTRIBUTION> <CONTRIBUTION>We also consider averaging operators on cocommutative Hopf algebras and braided vector spaces in relations to averaging operators on groups, Lie algebras and racks.</CONTRIBUTION> <CONTRIBUTION>In the end, we define averaging operators on a Leibniz algebra, find the induced structure and show that the differentiation of a smooth pointed averaging operator on a pointed Lie rack yields an averaging operator on the corresponding Leibniz algebra.</CONTRIBUTION> </ABSTRACT>","This work shows how a simple “averaging” rule in algebra can build new structures. First, the authors add averaging operators to groups to create rack-like systems. Next, they link these ideas to Lie and Leibniz algebras using a process like differentiation. Finally, they extend the averaging rule to more advanced settings such as Hopf algebras and braided spaces. Altogether, these steps reveal a connected web of algebraic objects that help us understand symmetry and structure more clearly.",   
ARXIV_1812_00548.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <BACKGROUND>X-Ray image enhancement, along with many other medical image processing applications, requires the segmentation of images into bone, soft tissue, and open beam regions.</BACKGROUND> <CONTRIBUTION>We apply a machine learning approach to this problem, presenting an end-to-end solution which results in robust and efficient inference.</CONTRIBUTION> <CONTRIBUTION>Since medical institutions often do not have the resources to process and label the large quantity of X-Ray images usually needed for neural network training, we design an end-to-end solution for small datasets, while achieving state-of-the-art results.</CONTRIBUTION> <CONTRIBUTION>Our implementation produces an overall accuracy of 92%, F1 score of 0.92, and an AUC of 0.98, surpassing classical image processing techniques, such as clustering and entropy based methods, while improving upon the output of existing neural networks used for segmentation in non-medical contexts.</CONTRIBUTION> <BACKGROUND>The code used for this project is available online.</BACKGROUND> </ABSTRACT>","This paper explains how to teach a computer to split X-ray images into bone, soft tissue, and empty beam areas (the background). The team built a brand-new, all-in-one machine learning system that works even if hospitals have only a few X-ray pictures to train on—something nobody else had done before—and made it super fast and reliable. Their tool scored 92% accuracy, a 0.92 F1 score, and a 0.98 AUC, beating older methods, and they even shared their code online so other researchers and doctors can use it too. ​",   
